Ticks,MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,MQ135
1648640854091,54,82,79,19,70,36,63,61,493
1648640854104,61,80,80,20,65,33,64,60,501
1648640854112,55,82,75,16,67,35,65,61,496
1648640854120,58,81,76,16,67,32,60,58,498
1648640854128,56,79,77,19,65,34,63,63,496
1648640854136,54,78,79,19,67,33,64,62,492
1648640854146,53,84,79,20,66,40,63,60,494
1648640854155,55,82,79,19,69,34,66,61,494
1648640854164,52,94,82,14,71,39,56,70,491
1648640854172,41,94,72,13,79,32,72,56,500
1648640854180,66,75,90,14,67,36,75,52,508
1648640854188,45,77,81,19,77,32,71,58,509
1648640854196,60,94,70,28,71,23,78,52,508
1648640854204,41,87,73,20,78,31,75,52,501
1648640854212,41,81,81,33,67,32,74,56,508
1648640854220,65,72,88,12,79,24,75,56,511
1648640854228,47,80,86,11,78,35,56,71,486
1648640854240,59,79,77,20,66,33,63,60,494
1648640854251,54,86,80,20,64,35,62,59,491
1648640854259,48,83,82,22,68,33,62,60,491
1648640854266,54,81,77,18,64,37,61,61,493
1648640854274,51,79,78,15,70,39,65,60,490
1648640854282,56,82,81,22,67,41,63,58,496
1648640854290,59,81,77,21,73,34,63,60,497
1648640854297,57,82,78,17,70,33,61,59,489
1648640854307,58,85,82,19,67,31,65,59,493
1648640854315,53,87,81,18,68,32,63,59,492
1648640854323,54,77,77,18,71,34,63,59,494
1648640854331,53,84,82,20,66,34,63,60,496
1648640854339,57,82,77,21,70,33,64,63,497
1648640854349,57,82,79,19,63,36,64,63,494
1648640854358,48,80,78,21,67,33,62,58,491
1648640854367,71,79,85,23,62,42,58,73,493
1648640854375,47,94,71,21,71,39,65,64,509
1648640854383,63,75,82,26,65,37,62,59,498
1648640854391,66,72,75,36,71,31,69,50,510
1648640854399,56,98,69,32,60,42,55,68,494
1648640854407,53,95,70,30,59,45,59,65,491
1648640854415,45,89,81,22,72,43,64,60,496
1648640854423,45,87,74,25,63,33,77,53,509
1648640854432,56,85,79,13,66,35,61,61,493
1648640854441,56,85,79,20,69,31,65,61,497
1648640854452,58,83,76,22,68,33,63,63,491
1648640854459,55,84,77,19,70,33,64,59,496
1648640854467,53,81,78,19,65,32,63,61,495
1648640854475,55,79,75,19,68,34,62,62,495
1648640854483,57,80,77,18,68,36,68,62,494
1648640854491,55,85,79,23,65,40,54,72,491
1648640854499,41,77,83,20,63,43,67,54,511
1648640854565,53,78,78,19,66,34,66,62,495
1648640854573,51,80,76,21,66,36,65,64,494
1648640854580,52,82,77,22,68,37,65,62,494
1648640854588,46,81,75,18,67,36,67,58,492
1648640854596,58,80,74,20,68,34,60,60,495
1648640854604,56,83,80,21,64,33,62,61,495
1648640854611,54,81,82,17,70,36,64,59,492
1648640854620,44,90,86,12,78,26,74,58,494
1648640854627,65,75,87,19,75,28,63,70,505
1648640854635,47,91,67,18,72,30,69,59,497
1648640854643,60,90,74,23,69,37,64,62,492
1648640854651,55,91,68,10,75,36,66,62,506
1648640854659,51,94,65,34,61,37,65,56,511
1648640854668,49,97,75,21,74,27,75,52,510
1648640854676,37,94,76,17,78,46,56,69,492
1648640854685,58,81,75,18,68,32,64,63,494
1648640854693,58,78,76,17,67,35,66,65,497
1648640854701,53,83,77,20,68,36,66,62,496
1648640854709,55,81,77,20,65,34,65,60,492
1648640854716,53,83,78,18,64,34,61,59,496
1648640854724,50,86,76,20,66,33,64,59,492
1648640854732,52,80,75,17,71,36,62,61,493
1648640854741,56,80,79,19,65,43,57,73,487
1648640854751,58,78,75,18,69,36,62,63,492
1648640854764,53,77,74,16,67,36,63,61,495
1648640854772,52,81,77,18,65,32,65,61,494
1648640854779,58,81,80,20,66,30,62,60,491
1648640854787,49,77,79,23,69,33,65,61,496
1648640854795,52,81,77,23,69,33,66,60,490
1648640854803,49,79,78,21,66,34,64,60,492
1648640854810,49,81,80,19,68,33,63,63,492
1648640854818,53,85,83,13,77,24,79,56,500
1648640854826,46,85,70,33,60,31,71,51,508
